listing_id,price,latitude,longitude,new_price
38550590,48.61344537815126,41.143889999999786,-8.611840000000027,3.8534177537579626
38555621,20.67924528301887,41.1794499999998,-8.581599999999984,3.0237084864154906
38558086,19.857142857142858,41.17865999999971,-8.582309999999934,2.9695934619106685
38561309,37.61079545454545,41.17131999999986,-8.669980000000008,3.6048088004927887
38564795,134.62222222222223,41.18217999999984,-8.689750000000002,4.898533844462066
38570334,147.3213296398892,41.189370000000046,-8.702589999999985,4.976604424630439
38572226,46.31073446327684,41.13536000000019,-8.612020000000022,3.828963193557863
38575057,46.33521126760564,41.13536000000019,-8.612020000000022,3.829465644238636
38575451,48.556179775280896,41.13479999999984,-8.611440000000014,3.8759020087473606
38592204,49.3969696969697,41.14959000000035,-8.612419999999961,3.886935140950744
38596707,30.0,41.161309999999894,-8.611420000000036,3.401197381662161
38597509,30.0,41.161389999999784,-8.609910000000012,3.4011973816621603
38597866,30.0,41.1614699999996,-8.611620000000013,3.4011973816621603
38597968,28.04982206405694,41.161939999999966,-8.631530000000064,3.2774480206178858
38598255,30.0,41.16121000000018,-8.610169999999956,3.401197381662161
38600054,29.415730337078653,41.17992000000011,-8.692970000000031,3.3121683992399844
38601434,32.14488636363637,41.11599999999999,-8.609699999999977,3.4606070363566346
38615086,25.0,41.12435000000004,-8.623129999999966,3.2188758248681903
38619288,36.07977207977208,41.14280999999979,-8.601029999999955,3.5856796294874362
38620609,20.0,41.183060000000026,-8.527749999999989,2.995732273553987
38620742,50.0,41.05019999999978,-8.651310000000048,3.912023005428165
38632758,67.65921787709497,41.122569999999925,-8.609100000000012,4.204968477148505
38635398,115.53021978021978,41.182909999999914,-8.692370000000064,4.738882898381444
38637135,57.28409090909091,41.137810000000144,-8.625039999999936,4.037580304505185
38639316,42.25903614457831,41.14645999999995,-8.606099999999978,3.734533690884389
38640178,54.29245283018868,41.145939999999996,-8.611229999999985,3.9801891485425704
38640760,30.0,41.15944999999971,-8.599769999999955,3.4011973816621612
38644666,100.0,41.14198000000023,-8.616959999999958,4.605170185988076
38645216,43.84615384615385,41.151079999999766,-8.592479999999947,3.768995988911462
38655541,51.21270718232044,41.150649999999715,-8.602890000000002,3.918641341073273
38655955,34.067796610169495,41.150910000000195,-8.591480000000038,3.4504741103725207
38657795,40.0,41.175510000000024,-8.597879999999998,3.688879454113932
38660995,48.20338983050848,41.15014999999987,-8.611719999999993,3.8580392323892307
38665676,67.38764044943821,41.14983000000019,-8.611249999999957,4.160892310886701
38673111,35.800569800569804,41.39999999999976,-8.729780000000005,3.5312723102163095
38673611,72.3931623931624,41.12128999999965,-8.606960000000042,4.247917909558399
38685775,77.09433962264151,41.16052999999987,-8.606440000000017,4.254451289226998
38687345,68.8932584269663,41.14777999999974,-8.60388999999998,4.231040817430942
38688115,80.0,41.24013000000011,-8.613209999999983,4.382026634673878
38688720,35.17058823529412,41.15436000000018,-8.60561000000001,3.3740658318874974
