neighbourhood,minx,miny,maxx,maxy,center_lon,center_lat
Romariz,-8.477662,40.924093,-8.427234,40.963853,-8.452448,40.943973
Caldas de São Jorge e de Pigeiros,-8.51799,40.934884,-8.469037,40.978508,-8.493513499999999,40.956695999999994
Tropeço,-8.348593,40.914696,-8.288058,40.983897,-8.3183255,40.9492965
Paramos,-8.653119,40.964778,-8.610703,40.984727,-8.631911,40.9747525
Paços de Brandão,-8.607364,40.963582,-8.57738,40.985894,-8.592372000000001,40.974738
Rio Meão,-8.604311,40.938887,-8.563272,40.970135,-8.5837915,40.954511
Escariz,-8.432551,40.901613,-8.337829,40.970897,-8.38519,40.936255
São Paio de Oleiros,-8.612965,40.975026,-8.584303,41.001006,-8.598634,40.988016
São Miguel do Mato,-8.42887,40.960528,-8.346368,41.004545,-8.387619,40.982536499999995
Argoncilhe,-8.557662,40.997619,-8.520327,41.040509,-8.538994500000001,41.019064
São Félix da Marinha,-8.650854,41.015117,-8.606059,41.046168,-8.6284565,41.0306425
"Canedo, Vale e Vila Maior",-8.506478,40.958929,-8.388852,41.053461,-8.447665,41.006195
Grijó e Sermonde,-8.608883,41.013527,-8.554064,41.053095,-8.581473500000001,41.033311
São João de Ver,-8.594819,40.933946,-8.515408,40.973074,-8.555113500000001,40.953509999999994
Santa Maria de Lamas,-8.580243,40.968841,-8.555654,40.990515,-8.5679485,40.979678
Fermedo,-8.434171,40.945969,-8.336037,40.992732,-8.385103999999998,40.9693505
Lourosa,-8.560091,40.966541,-8.524522,40.998272,-8.542306499999999,40.982406499999996
"Lobão, Gião, Louredo e Guisande",-8.429697,40.971219,-8.38947,41.000527,-8.4095835,40.985873
"Custóias, Leça do Balio e Guifões",-8.682625,41.187298,-8.611742,41.236622,-8.6471835,41.21196
Cristelo,-8.369625,41.21994,-8.351954,41.238128,-8.3607895,41.229034
Fiães,-8.538248,40.968342,-8.507527,41.000356,-8.5228875,40.984348999999995
Arcozelo,-8.65905,41.04031,-8.619992,41.070623,-8.639521,41.055466499999994
Lomba,-8.433009,41.00138,-8.383154,41.072212,-8.4080815,41.036795999999995
Paredes,-8.380157,41.185984,-8.296196,41.239089,-8.3381765,41.2125365
Águas Santas,-8.602486,41.193874,-8.554996,41.240123,-8.578741,41.2169985
Serzedo e Perosinho,-8.626328,41.033379,-8.565532,41.0718,-8.59593,41.052589499999996
"Sandim, Olival, Lever e Crestuma",-8.550568,41.009304,-8.448741,41.084956,-8.4996545,41.047129999999996
Pedroso e Seixezelo,-8.593458,41.026496,-8.530733,41.09453,-8.5620955,41.060513
Melres e Medas,-8.465584,41.035642,-8.372571,41.097747,-8.4190775,41.0666945
Canelas,-8.614852,41.06352,-8.580669,41.098148,-8.5977605,41.080833999999996
Gulpilhares e Valadares,-8.659601,41.067712,-8.613669,41.105093,-8.636635,41.0864025
Vilar de Andorinho,-8.598214,41.086891,-8.552611,41.116281,-8.5754125,41.101586
Duas Igrejas,-8.390552,41.214638,-8.361816,41.241207,-8.376183999999999,41.227922500000005
Madalena,-8.665643,41.095329,-8.627495,41.119076,-8.646569,41.1072025
Campo e Sobrado,-8.499927,41.145191,-8.439995,41.24718,-8.469961,41.1961855
Cidade da Maia,-8.641621,41.203683,-8.593797,41.250833,-8.617709000000001,41.227258
Avintes,-8.571817,41.082376,-8.521618,41.126193,-8.5467175,41.1042845
Agrela,-8.486825,41.241204,-8.449197,41.271111,-8.468011,41.2561575
Foz do Sousa e Covelo,-8.52538,41.070295,-8.436811,41.129665,-8.4810955,41.09998
Mafamude e Vilar do Paraíso,-8.632997,41.07825,-8.591318,41.134174,-8.612157499999999,41.106212
"Perafita, Lavra e Santa Cruz do Bispo",-8.729158,41.200587,-8.66145,41.273115,-8.695304,41.236851
Oliveira do Douro,-8.604322,41.104299,-8.568832,41.142424,-8.586577,41.1233615
Aguiar de Sousa,-8.473972,41.086714,-8.406769,41.145191,-8.4403705,41.1159525
Canidelo,-8.675575,41.109443,-8.632474,41.144812,-8.6540245,41.1271275
Santa Marinha e São Pedro da Afurada,-8.652037,41.115489,-8.597029,41.147468,-8.624533,41.1314785
Vilar de Pinheiro,-8.680755,41.256047,-8.649904,41.277162,-8.665329499999999,41.2666045
"Gondomar (São Cosme), Valbom e Jovim",-8.575763,41.095604,-8.501724,41.156338,-8.538743499999999,41.125971
Rio Tinto,-8.584111,41.156144,-8.535732,41.197861,-8.5599215,41.1770025
Pedrouços,-8.597511,41.179632,-8.57403,41.200846,-8.5857705,41.190239
Aveleda,-8.702834,41.255495,-8.677678,41.277138,-8.690256,41.2663165
Baguim do Monte (Rio Tinto),-8.554115,41.17731,-8.515086,41.203318,-8.5346005,41.190314
Astromil,-8.429563,41.191651,-8.404595,41.205951,-8.417079000000001,41.198801
Baltar,-8.409581,41.170722,-8.366562,41.20652,-8.388071499999999,41.188621
São Mamede de Infesta e Senhora da Hora,-8.671688,41.176305,-8.595448,41.207413,-8.633568,41.191859
