,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,extra_people,guests_included,new_price
3384757,39001270,2020-03-09,f,29.0,29.0,28.0,1125.0,"Aldoar, Foz do Douro e Nevogilde",PORTO,41.16457,-8.67219,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.367295829986474
3385108,38863049,2020-03-09,f,34.0,34.0,2.0,180.0,Campanhã,PORTO,41.14693,-8.58758,4,1.0,1.0,2.0,200.0,20.0,10.0,2.0,3.5263605246161616
3385387,38867379,2020-03-09,t,50.0,50.0,2.0,15.0,Vila do Conde,VILA DO CONDE,41.36256,-8.75822,4,1.0,2.0,3.0,100.0,0.0,0.0,1.0,3.912023005428146
3385737,39004071,2020-03-09,t,29.0,29.0,1.0,1125.0,Bonfim,PORTO,41.16007,-8.60334,2,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.367295829986474
3386093,38356182,2020-03-09,f,40.0,40.0,2.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15288,-8.61147,4,1.0,1.0,1.0,0.0,18.0,0.0,1.0,3.688879454113936
3386454,39004437,2020-03-09,t,35.0,35.0,2.0,1125.0,Bonfim,PORTO,41.16024,-8.60138,2,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.555348061489413
3386813,38871835,2020-03-09,f,30.0,30.0,3.0,1125.0,Bonfim,PORTO,41.14701,-8.59087,2,1.0,1.0,1.0,0.0,15.0,0.0,1.0,3.4011973816621555
3387177,39013410,2020-03-09,t,35.0,35.0,1.0,35.0,Paranhos,PORTO,41.16891,-8.6124,4,1.0,1.0,2.0,0.0,0.0,0.0,5.0,3.555348061489413
3387399,38873454,2020-03-09,f,17.0,17.0,29.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15276,-8.60606,2,1.0,1.0,1.0,0.0,20.0,0.0,1.0,2.833213344056216
3387755,38356589,2020-03-09,f,25.0,25.0,2.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.1527,-8.61143,2,1.0,1.0,1.0,0.0,15.0,0.0,1.0,3.218875824868201
3388111,39013412,2020-03-09,f,29.0,29.0,2.0,29.0,Mafamude e Vilar do Paraíso,VILA NOVA DE GAIA,41.12215,-8.61297,4,1.0,1.0,3.0,250.0,15.0,7.0,2.0,3.367295829986474
