,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,extra_people,guests_included,new_price
0,510404,2020-03-09,t,25.0,25.0,4.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15605,-8.60928,2,1.0,1.0,1.0,0.0,0.0,10.0,1.0,3.218875824868201
165,41339,2020-03-09,f,75.0,75.0,2.0,90.0,Lordelo do Ouro e Massarelos,PORTO,41.1501,-8.66035,5,1.0,1.0,4.0,250.0,0.0,8.0,2.0,4.31748811353631
520,100521,2020-03-09,t,80.0,80.0,1.0,730.0,Gulpilhares e Valadares,VILA NOVA DE GAIA,41.07378,-8.65368,1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.382026634673881
870,518534,2020-03-09,f,91.0,91.0,2.0,365.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14002,-8.61519,4,1.0,1.0,2.0,0.0,25.0,15.0,2.0,4.51085950651685
1223,100661,2020-03-09,f,25.0,25.0,3.0,365.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14908,-8.60905,2,2.0,1.0,2.0,0.0,15.0,10.0,1.0,3.218875824868201
1576,55111,2020-03-09,f,66.0,66.0,3.0,60.0,Cete,PAREDES,41.17481,-8.35362,5,1.0,2.0,5.0,150.0,0.0,0.0,4.0,4.189654742026425
1939,530311,2020-03-09,f,85.0,85.0,3.0,1125.0,Santa Marinha e São Pedro da Afurada,VILA NOVA DE GAIA,41.13501,-8.61047,5,1.0,3.0,4.0,0.0,25.0,0.0,1.0,4.442651256490317
2293,104045,2020-03-09,t,160.0,160.0,4.0,1125.0,Bonfim,PORTO,41.15877,-8.59893,10,3.0,5.0,6.0,0.0,75.0,0.0,1.0,5.075173815233827
2649,538055,2020-03-09,t,96.0,96.0,1.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15061,-8.62086,2,1.0,1.0,2.0,0.0,0.0,0.0,1.0,4.564348191467836
3004,70925,2020-03-09,t,70.0,70.0,4.0,1125.0,Santa Marinha e São Pedro da Afurada,VILA NOVA DE GAIA,41.1381,-8.61108,6,1.0,2.0,2.0,94.0,0.0,5.0,4.0,4.248495242049359
3116,73828,2020-03-09,f,66.0,66.0,3.0,60.0,Cete,PAREDES,41.17449,-8.35426,5,1.0,2.0,5.0,150.0,0.0,0.0,4.0,4.189654742026425
3480,105347,2020-03-09,f,50.0,50.0,3.0,1125.0,Oliveira do Douro,VILA NOVA DE GAIA,41.12961,-8.58427,4,1.0,2.0,3.0,0.0,0.0,15.0,2.0,3.912023005428146
3831,76436,2020-03-09,f,114.0,114.0,2.0,999.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.13925,-8.61477,3,1.0,1.0,2.0,0.0,0.0,30.0,2.0,4.736198448394496
4168,538059,2020-03-09,f,64.0,64.0,1.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15065,-8.62109,2,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.158883083359672
4522,108153,2020-03-09,t,60.0,60.0,2.0,1125.0,Anta e Guetim,ESPINHO,40.99902,-8.6163,2,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0943445622221
4873,86388,2020-03-09,f,21.0,21.0,3.0,31.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14918,-8.60922,2,2.0,1.0,1.0,0.0,15.0,10.0,1.0,3.044522437723423
5227,538061,2020-03-09,t,80.0,80.0,1.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14921,-8.61951,2,1.0,1.0,2.0,0.0,0.0,0.0,1.0,4.382026634673881
5581,87873,2020-03-09,t,55.0,55.0,2.0,14.0,Bonfim,PORTO,41.15786,-8.60427,4,1.0,2.0,2.0,0.0,0.0,12.0,2.0,4.007333185232471
5941,113586,2020-03-09,t,50.0,50.0,4.0,60.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14602,-8.61447,3,1.0,1.0,2.0,0.0,0.0,15.0,2.0,3.912023005428146
6299,91439,2020-03-09,f,25.0,25.0,3.0,31.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14908,-8.60905,2,2.0,1.0,1.0,0.0,15.0,10.0,1.0,3.218875824868201
6654,538062,2020-03-09,t,96.0,96.0,1.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15004,-8.61974,2,1.0,1.0,2.0,0.0,0.0,0.0,1.0,4.564348191467836
7007,122362,2020-03-09,t,62.0,62.0,2.0,730.0,Paranhos,PORTO,41.17563,-8.62323,9,3.0,4.0,6.0,100.0,0.0,13.0,4.0,4.127134385045092
7361,94701,2020-03-09,t,47.0,42.0,3.0,365.0,Bonfim,PORTO,41.14707,-8.60109,3,1.0,1.0,1.0,100.0,20.0,10.0,2.0,3.8501476017100575
7707,538064,2020-03-09,t,92.0,92.0,1.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14909,-8.62093,2,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.5217885770490405
8058,125872,2020-03-09,t,49.0,49.0,1.0,365.0,Mafamude e Vilar do Paraíso,VILA NOVA DE GAIA,41.12424,-8.61346,2,1.0,1.0,0.0,0.0,5.0,0.0,1.0,3.8918202981106265
8409,538066,2020-03-09,f,80.0,80.0,1.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15002,-8.61969,2,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.382026634673881
8764,96394,2020-03-09,t,200.0,200.0,1.0,5.0,Canidelo,VILA NOVA DE GAIA,41.1411,-8.65148,4,2.0,2.0,2.0,0.0,0.0,50.0,2.0,5.298317366548036
9115,127208,2020-03-09,t,25.0,25.0,1.0,1125.0,Campanhã,PORTO,41.1546,-8.58985,4,2.0,1.0,3.0,0.0,10.0,10.0,1.0,3.218875824868201
9468,538069,2020-03-09,f,80.0,80.0,1.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15052,-8.62127,2,1.0,1.0,2.0,0.0,0.0,0.0,1.0,4.382026634673881
9821,502059,2020-03-09,f,45.0,45.0,1.0,30.0,Ramalde,PORTO,41.16693,-8.63799,2,1.0,1.0,1.0,0.0,0.0,10.0,4.0,3.80666248977032
10173,128557,2020-03-09,t,24.0,24.0,1.0,365.0,Santa Marinha e São Pedro da Afurada,VILA NOVA DE GAIA,41.12557,-8.61512,2,2.0,1.0,1.0,0.0,0.0,0.0,1.0,3.1780538303479458
10524,544185,2020-03-09,f,123.0,123.0,1.0,365.0,Espinho,ESPINHO,41.00835,-8.64444,6,2.0,3.0,3.0,154.0,25.0,10.0,6.0,4.812184355372417
10629,131994,2020-03-09,t,30.0,30.0,3.0,365.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14993,-8.6151,2,1.0,1.0,1.0,0.0,25.0,10.0,2.0,3.4011973816621555
10989,735736,2020-03-09,f,51.0,51.0,2.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15583,-8.62387,6,1.0,2.0,5.0,0.0,35.0,6.0,4.0,3.9318256327243257
11344,546381,2020-03-09,t,60.0,60.0,2.0,365.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14284,-8.61469,4,1.0,1.0,1.0,0.0,0.0,20.0,2.0,4.0943445622221
11424,736472,2020-03-09,f,54.0,54.0,3.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15583,-8.62387,6,1.0,2.0,5.0,0.0,0.0,4.0,4.0,3.9889840465642745
11779,133099,2020-03-09,t,40.0,40.0,3.0,365.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.1506,-8.61391,4,1.0,1.0,2.0,0.0,35.0,10.0,2.0,3.688879454113936
12131,557570,2020-03-09,t,55.0,55.0,1.0,365.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14989,-8.61293,2,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.007333185232471
12268,738602,2020-03-09,t,84.0,84.0,2.0,31.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14581,-8.61272,7,2.0,2.0,5.0,0.0,0.0,15.0,4.0,4.430816798843313
12629,133803,2020-03-09,t,49.0,49.0,1.0,1125.0,Canidelo,VILA NOVA DE GAIA,41.1277,-8.66321,6,1.0,2.0,5.0,500.0,40.0,25.0,5.0,3.8918202981106265
12980,562251,2020-03-09,t,80.0,80.0,2.0,365.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14142,-8.61359,6,2.0,2.0,5.0,0.0,0.0,20.0,3.0,4.382026634673881
13060,743776,2020-03-09,t,78.0,78.0,3.0,150.0,"Póvoa de Varzim, Beiriz e Argivai",PÓVOA DE VARZIM,41.37895,-8.76649,4,1.0,2.0,3.0,0.0,0.0,0.0,3.0,4.356708826689592
13338,134570,2020-03-09,f,120.0,120.0,2.0,1125.0,Madalena,VILA NOVA DE GAIA,41.1041,-8.65946,8,3.0,3.0,6.0,350.0,100.0,26.0,4.0,4.787491742782046
13690,139425,2020-03-09,t,57.0,57.0,2.0,365.0,Bonfim,PORTO,41.14627,-8.59439,6,1.0,1.0,3.0,154.0,20.0,5.0,2.0,4.04305126783455
14044,563465,2020-03-09,t,65.0,65.0,7.0,30.0,Ermesinde,VALONGO,41.2234,-8.54421,4,1.0,1.0,4.0,0.0,30.0,0.0,1.0,4.174387269895637
14394,746214,2020-03-09,f,50.0,50.0,2.0,1124.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14849,-8.60406,5,1.0,1.0,4.0,100.0,0.0,20.0,2.0,3.912023005428146
14749,141255,2020-03-09,t,40.0,40.0,2.0,31.0,São Mamede de Infesta e Senhora da Hora,MATOSINHOS,41.19279,-8.66029,2,1.0,1.0,1.0,200.0,20.0,15.0,1.0,3.688879454113936
15100,748133,2020-03-09,f,50.0,50.0,2.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14688,-8.61333,4,1.0,1.0,3.0,0.0,25.0,10.0,2.0,3.912023005428146
15456,147502,2020-03-09,t,42.0,42.0,1.0,730.0,Lourosa,SANTA MARIA DA FEIRA,40.98939,-8.53652,1,1.0,1.0,1.0,0.0,0.0,20.0,1.0,3.737669618283368
15646,749496,2020-03-09,f,240.0,240.0,2.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14849,-8.60406,12,5.0,4.0,9.0,300.0,60.0,35.0,8.0,5.480638923341991
16005,565255,2020-03-09,t,40.0,40.0,2.0,15.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15396,-8.60421,2,1.0,1.0,4.0,0.0,0.0,0.0,2.0,3.688879454113936
16359,155127,2020-03-09,t,40.0,40.0,3.0,31.0,"Gondomar (São Cosme), Valbom e Jovim",GONDOMAR,41.12465,-8.54445,6,2.0,3.0,5.0,0.0,20.0,10.0,4.0,3.688879454113936
16710,571382,2020-03-09,f,39.0,39.0,2.0,365.0,Matosinhos e Leça da Palmeira,MATOSINHOS,41.1898,-8.6983,8,2.0,3.0,4.0,0.0,35.0,12.0,2.0,3.6635616461296463
17061,758709,2020-03-09,f,40.0,40.0,3.0,31.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14655,-8.61746,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.688879454113936
17383,155723,2020-03-09,f,80.0,80.0,3.0,30.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15889,-8.61002,5,3.0,3.0,3.0,500.0,55.0,20.0,1.0,4.382026634673881
17746,759702,2020-03-09,t,35.0,35.0,3.0,31.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14755,-8.61742,2,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.555348061489413
18072,573687,2020-03-09,t,95.0,95.0,2.0,365.0,Parada de Todeia,PAREDES,41.15717,-8.37851,4,1.0,1.0,0.0,0.0,0.0,10.0,2.0,4.553876891600541
18177,577242,2020-03-09,t,100.0,100.0,6.0,1125.0,Argoncilhe,SANTA MARIA DA FEIRA,41.01075,-8.53543,8,3.0,4.0,4.0,300.0,50.0,5.0,6.0,4.605170185988092
18528,764471,2020-03-09,f,40.0,40.0,2.0,15.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.1447,-8.60541,4,1.0,1.0,2.0,0.0,15.0,10.0,2.0,3.688879454113936
18884,579745,2020-03-09,f,75.0,75.0,2.0,60.0,"Aldoar, Foz do Douro e Nevogilde",PORTO,41.15384,-8.67886,4,0.0,1.0,1.0,85.0,30.0,0.0,1.0,4.31748811353631
19235,769605,2020-03-09,f,55.0,55.0,2.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14283,-8.60787,2,1.0,1.0,1.0,91.0,15.0,0.0,1.0,4.007333185232471
19595,165699,2020-03-09,f,190.0,190.0,2.0,90.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14822,-8.61476,10,3.0,5.0,5.0,0.0,50.0,25.0,8.0,5.247024072160486
19952,581356,2020-03-09,t,64.0,64.0,2.0,120.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14443,-8.61755,4,1.0,0.0,2.0,0.0,15.0,15.0,2.0,4.158883083359672
20308,780430,2020-03-09,f,67.0,67.0,1.0,31.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14195,-8.61844,3,1.0,1.0,3.0,100.0,0.0,10.0,2.0,4.204692619390966
20662,581402,2020-03-09,f,50.0,50.0,1.0,365.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14849,-8.60406,5,1.0,1.0,4.0,100.0,0.0,20.0,2.0,3.912023005428146
21025,780538,2020-03-09,t,90.0,90.0,1.0,31.0,Santa Marinha e São Pedro da Afurada,VILA NOVA DE GAIA,41.14008,-8.62086,6,1.0,2.0,5.0,200.0,0.0,15.0,2.0,4.499809670330265
21379,582405,2020-03-09,f,70.0,70.0,3.0,1125.0,Bonfim,PORTO,41.15819,-8.60128,6,1.0,3.0,5.0,0.0,30.0,8.0,2.0,4.248495242049359
21737,169321,2020-03-09,t,65.0,65.0,3.0,1125.0,Bonfim,PORTO,41.14536,-8.59792,6,2.0,2.0,4.0,0.0,0.0,18.0,4.0,4.174387269895637
22091,780704,2020-03-09,t,75.0,75.0,2.0,21.0,Cidade da Maia,MAIA,41.22408,-8.61316,2,1.0,1.0,1.0,150.0,25.0,50.0,2.0,4.31748811353631
22281,587499,2020-03-09,f,34.0,34.0,2.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.1474,-8.61528,2,1.0,1.0,1.0,0.0,10.0,16.0,2.0,3.5263605246161616
22473,590448,2020-03-09,f,160.0,160.0,150.0,150.0,Bonfim,PORTO,41.15147,-8.59746,6,1.0,2.0,4.0,300.0,29.0,15.0,4.0,5.075173815233827
22834,173827,2020-03-09,t,45.0,45.0,3.0,1125.0,Lordelo do Ouro e Massarelos,PORTO,41.16188,-8.66014,4,1.0,1.0,3.0,200.0,39.0,15.0,2.0,3.80666248977032
23189,786791,2020-03-09,t,28.0,28.0,2.0,365.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15821,-8.6124,3,1.0,1.0,1.0,0.0,10.0,20.0,2.0,3.332204510175204
23540,186655,2020-03-09,f,55.0,55.0,1.0,15.0,Lordelo do Ouro e Massarelos,PORTO,41.15206,-8.65228,6,1.0,3.0,5.0,0.0,25.0,0.0,1.0,4.007333185232471
23894,598806,2020-03-09,f,49.0,49.0,2.0,40.0,Bonfim,PORTO,41.14703,-8.59516,2,1.0,1.0,1.0,0.0,0.0,20.0,2.0,3.8918202981106265
24247,801100,2020-03-09,t,41.0,41.0,3.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15721,-8.62654,2,1.0,0.0,1.0,100.0,0.0,0.0,1.0,3.713572066704308
24353,186946,2020-03-09,t,116.0,116.0,2.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14087,-8.61703,2,1.0,1.0,1.0,0.0,16.0,32.0,2.0,4.7535901911063645
24705,600573,2020-03-09,f,60.0,60.0,2.0,90.0,Matosinhos e Leça da Palmeira,MATOSINHOS,41.17983,-8.68151,4,1.0,1.0,1.0,100.0,20.0,7.0,2.0,4.0943445622221
25057,819535,2020-03-09,f,35.0,35.0,2.0,31.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14452,-8.61166,2,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.555348061489413
25412,187740,2020-03-09,t,50.0,50.0,1.0,10.0,São João de Ver,SANTA MARIA DA FEIRA,40.95188,-8.56173,2,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.912023005428146
25602,603565,2020-03-09,f,70.0,70.0,1.0,365.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14141,-8.6142,8,2.0,2.0,7.0,0.0,0.0,20.0,3.0,4.248495242049359
25682,826872,2020-03-09,t,61.0,61.0,1.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14263,-8.61403,4,1.0,0.0,1.0,100.0,0.0,20.0,2.0,4.110873864173311
25762,189368,2020-03-09,f,80.0,80.0,2.0,15.0,Azurara,VILA DO CONDE,41.33771,-8.74118,5,2.0,2.0,4.0,0.0,0.0,25.0,6.0,4.382026634673881
26068,604702,2020-03-09,f,69.0,69.0,2.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15667,-8.62764,6,1.0,2.0,4.0,100.0,20.0,14.0,2.0,4.23410650459726
26423,191005,2020-03-09,t,60.0,60.0,3.0,120.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15276,-8.60847,6,2.0,2.0,4.0,100.0,30.0,10.0,4.0,4.0943445622221
26783,605605,2020-03-09,t,55.0,55.0,2.0,31.0,Vila do Conde,VILA DO CONDE,41.35313,-8.74471,6,2.0,3.0,3.0,150.0,30.0,0.0,1.0,4.007333185232471
27135,605951,2020-03-09,f,200.0,200.0,2.0,1125.0,Paranhos,PORTO,41.16891,-8.58814,12,3.0,6.0,9.0,400.0,60.0,0.0,1.0,5.298317366548036
27357,827208,2020-03-09,t,65.0,65.0,2.0,1125.0,Matosinhos e Leça da Palmeira,MATOSINHOS,41.18726,-8.70614,6,1.0,3.0,3.0,350.0,20.0,20.0,2.0,4.174387269895637
27710,829780,2020-03-09,t,175.0,175.0,2.0,1125.0,Canelas e Espiunca,AROUCA,40.99038,-8.21421,6,4.0,3.0,4.0,0.0,0.0,5.0,6.0,5.1647859739235145
28059,852698,2020-03-09,f,150.0,150.0,1.0,1124.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14722,-8.60383,6,2.0,2.0,4.0,250.0,30.0,20.0,4.0,5.010635294096256
28412,853908,2020-03-09,f,125.0,125.0,2.0,1124.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14905,-8.60905,8,2.0,4.0,5.0,0.0,30.0,15.0,4.0,4.8283137373023015
28768,608281,2020-03-09,t,197.0,197.0,2.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15286,-8.6069,12,2.0,7.0,9.0,0.0,30.0,30.0,6.0,5.2832037287379885
29132,608760,2020-03-09,t,80.0,80.0,1.0,1125.0,Canidelo,VILA NOVA DE GAIA,41.13348,-8.65822,3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.382026634673881
29301,207475,2020-03-09,f,31.0,31.0,2.0,15.0,Santa Marinha e São Pedro da Afurada,VILA NOVA DE GAIA,41.13109,-8.61375,2,1.0,0.0,1.0,0.0,10.0,15.0,2.0,3.4339872044851463
29658,609453,2020-03-09,f,50.0,50.0,1.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14849,-8.60406,2,1.0,1.0,1.0,100.0,0.0,0.0,1.0,3.912023005428146
30015,863923,2020-03-09,t,35.0,35.0,2.0,1125.0,"Aldoar, Foz do Douro e Nevogilde",PORTO,41.17111,-8.66351,2,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.555348061489413
30365,609455,2020-03-09,f,50.0,50.0,1.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14849,-8.60406,2,1.0,1.0,1.0,100.0,0.0,0.0,1.0,3.912023005428146
30722,867327,2020-03-09,t,150.0,150.0,3.0,300.0,"O. Azeméis, Riba-Ul, Ul, Macinhata da Seixa, Madail",OLIVEIRA DE AZEMÉIS,40.82816,-8.47334,6,3.0,3.0,3.0,2500.0,50.0,50.0,6.0,5.010635294096256
31020,208147,2020-03-09,f,30.0,30.0,4.0,730.0,Fornelo e Vairão,VILA DO CONDE,41.32667,-8.65956,2,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.4011973816621555
31370,609481,2020-03-09,t,55.0,55.0,2.0,365.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.142,-8.6157,4,1.0,1.0,1.0,0.0,0.0,20.0,2.0,4.007333185232471
31450,870040,2020-03-09,t,41.0,41.0,2.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15117,-8.61461,6,1.0,2.0,3.0,0.0,0.0,10.0,2.0,3.713572066704308
31804,211588,2020-03-09,f,25.0,25.0,2.0,365.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.16241,-8.62719,7,1.0,1.0,2.0,0.0,15.0,15.0,1.0,3.218875824868201
31994,878879,2020-03-09,t,76.0,76.0,1.0,1125.0,Rio Tinto,GONDOMAR,41.17257,-8.56586,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.330733340286331
32345,613792,2020-03-09,t,37.0,37.0,3.0,180.0,Gulpilhares e Valadares,VILA NOVA DE GAIA,41.07648,-8.65492,2,1.0,1.0,1.0,100.0,25.0,0.0,2.0,3.610917912644224
32698,234655,2020-03-09,f,63.0,63.0,2.0,999.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.1522,-8.61124,4,1.0,1.0,2.0,0.0,0.0,30.0,2.0,4.143134726391533
32922,879013,2020-03-09,t,30.0,30.0,2.0,1125.0,Ramalde,PORTO,41.17216,-8.63899,5,1.0,1.0,3.0,0.0,30.0,8.0,2.0,3.4011973816621555
33276,619218,2020-03-09,t,33.0,33.0,2.0,60.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15448,-8.61451,1,1.0,1.0,1.0,0.0,5.0,0.0,1.0,3.49650756146648
33629,241573,2020-03-09,f,70.0,70.0,2.0,365.0,Bonfim,PORTO,41.14776,-8.60194,5,1.0,2.0,4.0,0.0,0.0,10.0,4.0,4.248495242049359
33986,620462,2020-03-09,t,59.0,59.0,2.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14129,-8.61325,5,1.0,1.0,1.0,0.0,0.0,15.0,4.0,4.07753744390572
34342,880881,2020-03-09,t,150.0,150.0,2.0,31.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15066,-8.60775,10,3.0,4.0,6.0,0.0,0.0,0.0,1.0,5.010635294096256
34698,241574,2020-03-09,f,41.0,41.0,2.0,365.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14645,-8.60293,3,1.0,1.0,2.0,0.0,0.0,10.0,2.0,3.713572066704308
35059,620628,2020-03-09,t,50.0,50.0,2.0,31.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.1475,-8.61796,4,1.0,1.0,1.0,0.0,0.0,15.0,2.0,3.912023005428146
35322,887198,2020-03-09,f,45.0,45.0,2.0,1125.0,Bonfim,PORTO,41.14546,-8.59695,6,2.0,2.0,4.0,0.0,10.0,8.0,2.0,3.80666248977032
35675,241742,2020-03-09,f,70.0,70.0,2.0,365.0,Bonfim,PORTO,41.14831,-8.6004,5,1.0,2.0,3.0,0.0,0.0,10.0,4.0,4.248495242049359
36028,901441,2020-03-09,t,86.0,86.0,2.0,999.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.13975,-8.61466,4,1.0,2.0,2.0,0.0,0.0,30.0,2.0,4.454347296253507
36323,241743,2020-03-09,f,55.0,55.0,2.0,365.0,Bonfim,PORTO,41.14654,-8.59991,3,1.0,1.0,2.0,0.0,0.0,8.0,2.0,4.007333185232471
36679,621663,2020-03-09,t,55.0,55.0,2.0,31.0,Vila do Conde,VILA DO CONDE,41.35519,-8.74315,6,2.0,3.0,3.0,150.0,30.0,0.0,1.0,4.007333185232471
37030,621980,2020-03-09,t,33.0,33.0,2.0,60.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15448,-8.61451,1,1.0,1.0,1.0,0.0,5.0,0.0,1.0,3.49650756146648
37384,248537,2020-03-09,f,65.0,65.0,3.0,365.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14765,-8.61876,4,0.0,1.0,1.0,0.0,0.0,15.0,2.0,4.174387269895637
37735,901491,2020-03-09,t,86.0,86.0,2.0,999.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.13947,-8.61552,4,1.0,1.0,2.0,0.0,0.0,30.0,2.0,4.454347296253507
38037,627273,2020-03-09,f,100.0,100.0,1.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14125,-8.61477,4,1.0,1.0,2.0,0.0,0.0,15.0,4.0,4.605170185988092
38389,250828,2020-03-09,f,60.0,60.0,1.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.1464,-8.60216,5,1.0,2.0,2.0,0.0,0.0,10.0,2.0,4.0943445622221
38752,901558,2020-03-09,t,103.0,103.0,2.0,999.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14033,-8.61575,4,1.0,2.0,2.0,0.0,0.0,30.0,2.0,4.634728988229636
39049,628004,2020-03-09,f,85.0,85.0,1.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14076,-8.61612,4,1.0,1.0,2.0,0.0,0.0,15.0,4.0,4.442651256490317
