neighbourhood_cleansed,listing_id,price,adjusted_price,minimum_nights,maximum_nights,latitude,longitude,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,extra_people,guests_included,new_price
"AVer-o-Mar, Amorim e Terroso",25450699.193520885,82.26329250235564,82.24552429667519,6.652218782249742,856.5104769596626,41.39965072174653,-8.7675054485741,4.873423969129986,1.4393143985282901,1.9703414546596671,2.709247543410957,97.90685152779648,12.971418315609997,5.001929375869341,2.1851303450441963,4.196978829209363
Agrela,31919817.0,44.22857142857143,44.22857142857143,1.5371428571428571,1121.7857142857142,41.260630000000255,-8.47330000000007,6.0,2.0,3.0,4.0,0.0,20.0,0.0,1.0,3.7651387947982755
Aguiar de Sousa,32032469.46778626,64.69160305343512,64.69160305343512,2.5993893129770993,789.5926717557252,41.11582575877885,-8.438165276335743,5.894961832061068,1.7349618320610687,2.9065648854961834,3.604274809160305,1068.9160305343512,9.966412213740458,11.44854961832061,1.9025954198473283,3.953145547205693
Aguçadoura e Navais,22715469.26698899,74.95514370131615,74.95514370131615,1.8417942519473542,672.6228847703464,41.43159991404727,-8.77247332527507,5.350792371743218,1.714477571850658,2.156594144507118,2.5976363147998924,26.28256782164921,11.286596830513027,11.399677679290894,1.377921031426269,4.060758727112867
"Aldoar, Foz do Douro e Nevogilde",23273226.95788169,95.6759369148403,94.7889864704486,2.687396154759079,788.3772318485112,41.15629572748556,-8.67201734780817,4.097146398712979,1.3290608434211568,1.5782498615396787,2.4549410554632485,105.40497665954585,18.955758630693357,10.057718173906164,1.8870427512725163,4.31157913257787
Alfena,15293646.522848664,107.94777448071217,107.57032640949555,1.541246290801187,566.7572700296736,41.237147264094574,-8.524847703264177,6.162611275964392,2.2480712166172108,2.8729970326409497,3.4979228486646883,104.15430267062314,12.516320474777448,8.534124629080118,2.8694362017804154,4.304064042806699
Alvarelhos e Guidões,23791310.43577545,103.68696479543293,103.68696479543293,2.1179828734538533,1125.0,41.31144909609855,-8.619303786869501,5.67174119885823,2.335870599429115,2.3377735490009517,3.335870599429115,33.39676498572788,0.0,0.0,1.0,4.629478693179244
Alvarenga,21108307.964285713,194.89228571428572,194.89057142857143,2.0982857142857143,819.1897142857143,40.957636522855886,-8.165707582857232,8.765714285714285,3.963142857142857,4.247142857142857,5.646571428571429,65.05714285714286,10.804285714285715,10.607142857142858,5.002857142857143,5.1261551925355615
Anta e Guetim,25312503.002557546,70.60971867007673,70.346547314578,2.0470588235294116,791.8008951406649,41.00435263299152,-8.623003716112486,5.302685421994885,1.6044757033248083,1.711381074168798,3.0552429667519183,79.86572890025576,9.037084398976981,5.080179028132992,2.4411764705882355,4.165284588070549
Arcozelo,25786690.013825413,91.84411182205972,91.79619896404631,2.7152269957343083,839.9403945764777,41.05251553282877,-8.648369032602613,4.662705667276051,1.4028031687995124,2.0568631931748933,3.0030850091407677,67.03991468616697,18.866849482023156,6.416209628275442,2.236631627056673,4.276084554022332
"Areias, Sequeiró, Lama e Palmeira",23606362.61749409,164.6212765957447,164.56170212765957,2.625059101654846,816.9243498817967,41.36326372576824,-8.466967314420687,6.830260047281324,2.8378250591016547,2.6699763593380617,4.493617021276596,83.096926713948,20.40094562647754,0.0,1.0,4.949812800983974
Argoncilhe,18363714.287933093,68.55555555555556,68.55555555555556,2.913978494623656,1114.1039426523298,41.01529554360747,-8.541321302269843,5.408602150537634,2.166069295101553,2.74910394265233,2.912783751493429,158.54241338112305,23.42293906810036,5.37037037037037,3.915173237753883,3.908738285640893
Arouca e Burgo,27909928.384843625,88.77770649558941,88.77497995188452,1.5779470729751404,857.9971932638332,40.92685564956365,-8.25130449799493,5.056214915797915,1.4793103448275862,2.0284683239775463,2.752205292702486,11.567762630312751,4.043865276663993,7.216519647153167,1.8387329591018444,4.322103476363708
Arões,29462316.10617627,100.23386537126996,100.23386537126996,2.918806384455239,961.4365024288688,40.80822201943131,-8.291633934767516,6.367106176266482,1.6176266481609993,2.796668979875087,3.5232477446217905,157.07841776544066,28.445523941707147,4.8438584316446915,1.6016655100624566,4.502994497416046
Avintes,23478153.43956044,113.66323998582062,113.55370436015598,3.8968450903934775,786.4285714285714,41.110919443459515,-8.549659751861016,4.987593052109181,1.4969868840836582,1.8716767103863878,2.9925558312655087,199.43282523927687,18.04324707550514,8.354129741226515,2.495923431407302,4.356625250367912
Azurara,23116985.867659222,69.65315687896333,69.6435070306038,3.3336090432864625,790.9270747173973,41.340541832092995,-8.738206854149823,5.248552522746071,1.6963054866280673,2.1178660049627793,3.2795698924731185,46.80865729252826,18.477529638819963,5.203336090432865,2.285773366418528,4.154919751921179
Baguim do Monte (Rio Tinto),35376672.50371287,28.91398514851485,28.91398514851485,6.709158415841584,860.3452970297029,41.1894115717821,-8.544525563118974,3.573638613861386,0.9888613861386139,1.573019801980198,2.0278465346534653,0.0,13.731435643564357,1.7821782178217822,1.1782178217821782,3.3116867678724544
"Bagunte, Ferreiró, Outeiro Maior e Parada",21432883.43986254,110.69965635738832,110.69965635738832,2.4350515463917524,1063.2268041237114,41.361107491409996,-8.66400271477675,4.938144329896907,1.4467353951890034,2.3484536082474228,3.1079037800687286,48.24742268041237,8.436426116838488,4.81786941580756,0.9642611683848797,4.325336737671285
